,Name,y,x,Date,Sort
121,James Braidwood,55.949495,-3.190013,2006.0,Public art
122,Work No. 1059,55.951215,-3.18866,2011.0,Public art
123,William Henry Playfair,55.94757,-3.18893,2016.0,Public art
124,Bum the Dog (of San Diego),55.948417,-3.203388,2008.0,Public art
125,"Wojtek (Voytek), the Soldier Bear",55.950833,-3.202028,2015.0,Public art
126,Lulla-Bye (Children’s Memorial),55.950939,-3.198579,2019.0,Public art
127,Rhinoceros head,55.944755,-3.187452,2012.0,Public art
128,Bite on the Haynes Nano Stage ,55.944579,-3.187582,2012.0,Public art
129,Landform,55.951288,-3.227125,2001.0,Public art
130,Macduff Circle,55.951917,-3.2233400000000003,2002.0,Public art
131,6 Times,55.951182,-3.225086,2010.0,Public art
132,The Next Big Thing…Is A Series of Little Things ,55.945393,-3.189116,2017.0,Public art
133,Mesostic Interleaved,55.942908,-3.189075,2009.0,Public art
134,The Basic Material Is Not the Word But the Letter ,55.942748,-3.18855,2017.0,Public art
135,Untitled (Sucker Darts),55.945175,-3.1985240000000004,2016.0,Public art
136,Unknown,55.937365,-3.169483,2007.0,Public art
137,Canter,55.865174,-3.200375,2017.0,Public art
138,Wronger Rites,55.96481864,-3.174445359,2015.0,Street art
139,Untitled Mural,55.96859796,-3.173371931,2016.0,Street art
140,Leith Dockers Club Mural,55.97073971,-3.170117861,2013.0,Street art
141,"Scotland, together, persevere, NHS",55.962692000000004,-3.178664,2020.0,Street art
142,Armoury mural,55.945211,-3.240524,2019.0,Street art
143,Graffiti in Roseburn Park,55.945269999999994,-3.240296,2011.0,Street art
144,Free Speech,55.926331000000005,-3.269629,2020.0,Street art
145,Unity,55.966275,-3.17577,2020.0,Street art
146,The Protest,55.96774,-3.1739900000000003,2020.0,Street art
147,Poseidon,55.980129000000005,-3.218357,2019.0,Street art
148,Figgate Park Wild life,55.951,-3.122,2015.0,Street art
149,Figgate Park Wild life,55.95,-3.128,2015.0,Street art
150,Figgate Park Wild life,55.951,-3.1260000000000003,2015.0,Street art
151,Figgate Park Wild life,55.951,-3.1210000000000004,2015.0,Street art
